cp_ville,Région,Département,Gazole,SP98,SP95,E85,E10,GPLc,Latitude,Longitude,Nombre de stations
17260 Gémozac,Nouvelle-Aquitaine,Charente-Maritime,1.799,1.879,,0.979,1.799,,45.5758956035,-0.67761639667,1
17270 Montguyon,Nouvelle-Aquitaine,Charente-Maritime,1.839,1.879,,0.998,1.809,,45.2121397979,-0.177197722832,1
17290 Aigrefeuille-d'Aunis,Nouvelle-Aquitaine,Charente-Maritime,1.8975,1.869,1.99,0.998,1.805,,46.11662,-0.9347650000000001,2
17300 Rochefort,Nouvelle-Aquitaine,Charente-Maritime,1.8516666666666666,1.9076666666666666,,0.994,1.8336666666666666,1.05,45.944586332233335,-0.9705922387779999,3
17310 Saint-Pierre-d'Oléron,Nouvelle-Aquitaine,Charente-Maritime,1.8486666666666665,1.88,1.802,0.9275,1.779,,45.939150000000005,-1.3097333333333332,3
17320 Marennes-Hiers-Brouage,Nouvelle-Aquitaine,Charente-Maritime,1.829,1.8923333333333332,1.859,0.988,1.829,,45.82737057666666,-1.1083244333333333,3
17330 Villeneuve-la-Comtesse,Nouvelle-Aquitaine,Charente-Maritime,1.99,,2.08,,,,46.09855,-0.50192,1
17350 Fenioux,Nouvelle-Aquitaine,Charente-Maritime,2.107,2.234,,1.194,2.109,1.149,45.89351437443,-0.603746141307095,2
17350 Saint-Savinien,Nouvelle-Aquitaine,Charente-Maritime,1.853,1.892,,,1.839,,45.869555,-0.6657200000000001,2
17360 Saint-Aigulin,Nouvelle-Aquitaine,Charente-Maritime,1.845,1.929,,,,,45.159,-0.019,1
17390 La Tremblade,Nouvelle-Aquitaine,Charente-Maritime,1.829,1.849,,0.998,1.799,,45.76,-1.129,1
17400 Saint-Jean-d'Angély,Nouvelle-Aquitaine,Charente-Maritime,1.8663333333333334,1.9556666666666667,1.939,1.249,1.8616666666666666,1.0625,45.94228999999999,-0.5206366666666667,3
17410 Saint-Martin-de-Ré,Nouvelle-Aquitaine,Charente-Maritime,1.7625,1.8225,1.792,0.998,1.7645,,46.198170000000005,-1.35458,2
17420 Saint-Palais-sur-Mer,Nouvelle-Aquitaine,Charente-Maritime,1.845,1.914,,,1.83,,45.651,-1.085,1
17430 Tonnay-Charente,Nouvelle-Aquitaine,Charente-Maritime,1.819,1.885,,0.994,1.8115,0.999,45.947990335200004,-0.9077211068465,2
17440 Aytré,Nouvelle-Aquitaine,Charente-Maritime,1.943,1.99,,,1.91,,46.131,-1.099,1
17440 La Rochelle,Nouvelle-Aquitaine,Charente-Maritime,1.851,1.911,1.889,,,,46.1386,-1.13925,1
17450 Fouras,Nouvelle-Aquitaine,Charente-Maritime,1.829,1.897,,0.959,1.809,,45.99074,-1.0762,1
17470 Aulnay,Nouvelle-Aquitaine,Charente-Maritime,1.811,1.867,,,1.806,,46.029,-0.351,1
17480 Le Château-d'Oléron,Nouvelle-Aquitaine,Charente-Maritime,1.777,1.801,1.802,0.926,,,45.879273256827,-1.2196129659261,1
17500 Jonzac,Nouvelle-Aquitaine,Charente-Maritime,1.795,1.8625,,0.9735,1.7879999999999998,0.93,45.44673205,-0.44621865,2
17520 Archiac,Nouvelle-Aquitaine,Charente-Maritime,1.929,2.029,1.994,,,,45.528,-0.304,1
17520 Jarnac-Champagne,Nouvelle-Aquitaine,Charente-Maritime,1.96,1.99,,,,,45.558484299999996,-0.4019304,1
17530 Arvert,Nouvelle-Aquitaine,Charente-Maritime,1.829,1.849,,,1.799,0.999,45.74928731835,-1.13054165875,2
17540 Angliers,Nouvelle-Aquitaine,Charente-Maritime,1.87,1.99,1.99,,,,46.2129641345,-0.9541196059763399,1
17550 Dolus-d'Oléron,Nouvelle-Aquitaine,Charente-Maritime,1.84,1.86,,,1.819,,45.9046154635,-1.2588914413299999,1
17570 Les Mathes,Nouvelle-Aquitaine,Charente-Maritime,1.99,1.99,1.99,,,,45.687,-1.171,1
17580 Le Bois-Plage-en-Ré,Nouvelle-Aquitaine,Charente-Maritime,1.959,1.99,1.975,,,,46.177710860263,-1.3721589695779002,1
17590 Ars-en-Ré,Nouvelle-Aquitaine,Charente-Maritime,1.789,1.839,1.804,,,,46.204,-1.512,1
17600 Corme-Royal,Nouvelle-Aquitaine,Charente-Maritime,1.88,,1.97,,,,45.74625835,-0.81248551349124,1
17600 Médis,Nouvelle-Aquitaine,Charente-Maritime,1.786,,1.825,,1.782,,45.6656317,-0.943392,1
17600 Saujon,Nouvelle-Aquitaine,Charente-Maritime,1.8025,1.869,,0.998,1.789,,45.676500000000004,-0.9295,2
17610 Chaniers,Nouvelle-Aquitaine,Charente-Maritime,,,,,,,45.745,-0.562,1
17620 Échillais,Nouvelle-Aquitaine,Charente-Maritime,1.798,1.869,,0.989,1.798,,45.90695,-0.96161,1
17630 La Flotte,Nouvelle-Aquitaine,Charente-Maritime,1.775,1.828,1.804,,1.745,,46.179,-1.328,1
17640 Vaux-sur-Mer,Nouvelle-Aquitaine,Charente-Maritime,1.8559999999999999,1.923,1.866,0.998,1.8315000000000001,,45.6420465,-1.0562629499999998,2
17690 Angoulins,Nouvelle-Aquitaine,Charente-Maritime,1.8253333333333333,1.8886666666666667,1.85,1.0659999999999998,1.8256666666666668,0.917,46.104911300699996,-1.0965557150266667,3
17700 Surgères,Nouvelle-Aquitaine,Charente-Maritime,1.84425,1.8616666666666666,1.99,0.96,1.7843333333333333,0.912,46.10817,-0.7538174999999975,4
17740 Sainte-Marie-de-Ré,Nouvelle-Aquitaine,Charente-Maritime,1.952,1.986,,,1.876,,46.158,-1.324,1
17770 Burie,Nouvelle-Aquitaine,Charente-Maritime,1.879,1.921,1.899,,,,45.77508103751399,-0.42216137321515,1
17780 Soubise,Nouvelle-Aquitaine,Charente-Maritime,1.799,,,,1.799,,45.921,-1.003,1
17800 Pons,Nouvelle-Aquitaine,Charente-Maritime,1.777,1.853,,0.928,1.771,,45.579,-0.558,1
17800 Saint-Léger,Nouvelle-Aquitaine,Charente-Maritime,2.3115,2.4165,,,2.2865,1.149,45.611000000000004,-0.6005,2
17920 Breuillet,Nouvelle-Aquitaine,Charente-Maritime,1.899,2.021,,,2.007,0.987,45.699,-1.053,1
18000 Bourges,Centre-Val de Loire,Cher,1.871,1.9449090909090907,1.93975,0.996,1.8536666666666666,1.034,47.07724161167327,2.391105455213272,11
18100 Vierzon,Centre-Val de Loire,Cher,1.8418571428571429,1.9006666666666667,1.8499999999999999,1.0,1.8151666666666666,0.9884999999999999,47.223055024828,2.078369171769457,7
18110 Saint-Martin-d'Auxigny,Centre-Val de Loire,Cher,1.899,1.945,1.905,,,,47.210547849899996,2.42521747273,1
18130 Dun-sur-Auron,Centre-Val de Loire,Cher,1.913,1.9980000000000002,1.979,,1.857,,46.887,2.569,2
18140 Sancergues,Centre-Val de Loire,Cher,1.998,2.104,2.049,,,,47.156,2.912,1
18150 La Guerche-sur-l'Aubois,Centre-Val de Loire,Cher,1.875,1.909,1.889,,,,46.951,2.949,1
18160 Lignières,Centre-Val de Loire,Cher,1.875,1.889,1.869,,1.827,,46.753,2.169,1
18170 Le Châtelet,Centre-Val de Loire,Cher,1.9,1.979,1.915,,,,46.642,2.284,1
18190 Châteauneuf-sur-Cher,Centre-Val de Loire,Cher,1.869,,1.879,,1.839,,46.86,2.328,1
18200 Bruère-Allichamps,Centre-Val de Loire,Cher,1.849,1.899,1.849,,,,46.737568082299994,2.46095792922,1
18200 Farges-Allichamps,Centre-Val de Loire,Cher,2.044,2.164,,,2.054,1.054,46.752,2.416,1
18200 Orval,Centre-Val de Loire,Cher,1.859,,,0.998,1.849,,46.724,2.461,1
18200 Saint-Amand-Montrond,Centre-Val de Loire,Cher,1.875,1.879,1.896,,1.839,,46.728,2.5086666666666666,3
18220 Les Aix-d'Angillon,Centre-Val de Loire,Cher,1.889,1.989,,1.009,1.859,,47.195403353380996,2.5666948514844,1
18230 Saint-Doulchard,Centre-Val de Loire,Cher,1.7965,1.8745,,,1.797,0.939,47.1165,2.374,2
18240 Belleville-sur-Loire,Centre-Val de Loire,Cher,1.886,1.96,,,1.876,,47.505,2.852,1
18240 Boulleret,Centre-Val de Loire,Cher,1.91,,,1.16,1.89,,47.421,2.884,1
18250 Henrichemont,Centre-Val de Loire,Cher,1.849,1.889,,,1.829,,47.3,2.517,1
18300 Bué,Centre-Val de Loire,Cher,,,,,,,47.30227,2.79561,1
18300 Saint-Satur,Centre-Val de Loire,Cher,1.859,,,1.059,1.839,,47.334,2.856,1
18300 Sancerre,Centre-Val de Loire,Cher,1.9745,2.022,2.0,,1.88,,47.329379720000006,2.828039335,2
18330 Neuvy-sur-Barangeon,Centre-Val de Loire,Cher,2.005,2.006,1.986,,,,47.31545,2.25574,1
18350 Blet,Centre-Val de Loire,Cher,1.99,,1.99,,,,46.896,2.729,1
18350 Nérondes,Centre-Val de Loire,Cher,1.859,1.899,,,1.839,,46.998,2.818,1
18370 Châteaumeillant,Centre-Val de Loire,Cher,1.869,1.939,,0.998,1.839,,46.555,2.201,1
18390 Bourges,Centre-Val de Loire,Cher,1.85,1.909,1.907,,,0.9,47.095589154531,2.4407317790985,1
18390 Saint-Germain-du-Puy,Centre-Val de Loire,Cher,1.879,,,0.998,1.829,,47.099,2.489,1
18400 Saint-Florent-sur-Cher,Centre-Val de Loire,Cher,1.839,1.899,1.859,1.008,1.809,,47.0005,2.258,2
18410 Argent-sur-Sauldre,Centre-Val de Loire,Cher,1.846,1.917,,,1.835,,47.549,2.448,1
18500 Marmagne,Centre-Val de Loire,Cher,2.0715000000000003,2.1765,,,2.0715000000000003,1.149,47.095,2.2415000000000003,2
18500 Mehun-sur-Yèvre,Centre-Val de Loire,Cher,1.8635,1.87,1.839,0.998,1.833,,47.14608065,2.22918675,2
18520 Avord,Centre-Val de Loire,Cher,1.869,1.918,,0.998,1.835,,47.032,2.642,1
18570 La Chapelle-Saint-Ursin,Centre-Val de Loire,Cher,1.899,1.949,1.939,,,,47.063,2.324,1
18600 Sancoins,Centre-Val de Loire,Cher,1.9245,1.9645000000000001,1.9495,,,,46.8345,2.926,2
18700 Aubigny-sur-Nère,Centre-Val de Loire,Cher,1.8475000000000001,1.884,1.8094999999999999,0.998,1.829,,47.4865,2.432,2
18800 Baugy,Centre-Val de Loire,Cher,1.949,1.999,1.979,,,,47.082,2.729,1
19000 Tulle,Nouvelle-Aquitaine,Corrèze,1.8706666666666667,1.929,1.828,0.998,1.8526666666666667,,45.269107310200006,1.7633341636900002,4
19100 Brive-la-Gaillarde,Nouvelle-Aquitaine,Corrèze,1.854625,1.9325714285714286,1.8653333333333333,0.994,1.853,1.004,45.15883875000001,1.5196124999999998,8
19100 Malemort,Nouvelle-Aquitaine,Corrèze,1.899,,1.858,0.998,1.873,,45.158,1.563,1
19110 Bort-les-Orgues,Nouvelle-Aquitaine,Corrèze,1.859,1.919,,1.035,1.819,,45.4041032586,2.4999235676100002,1
19120 Altillac,Nouvelle-Aquitaine,Corrèze,1.786,,1.802,,1.762,,44.973,1.849,1
19130 Objat,Nouvelle-Aquitaine,Corrèze,1.8010000000000002,1.9303333333333335,1.879,,1.839,,45.24933333333333,1.4136666666666668,3
19130 Saint-Aulaire,Nouvelle-Aquitaine,Corrèze,1.892,1.937,1.898,,1.874,,45.23073,1.37255,1
19140 Uzerche,Nouvelle-Aquitaine,Corrèze,1.8556666666666668,1.8973333333333333,1.889,1.032,1.8243333333333334,,45.427453333333325,1.5688633333333335,3
19150 Laguenne-sur-Avalouze,Nouvelle-Aquitaine,Corrèze,1.829,1.879,1.859,0.999,,1.099,45.246629999999996,1.772675,2
19160 Neuvic,Nouvelle-Aquitaine,Corrèze,1.899,1.948,,,1.894,,45.384,2.269,1
19170 Bugeat,Nouvelle-Aquitaine,Corrèze,1.99,,1.988,,,,45.59855,1.92571,1
19190 Beynat,Nouvelle-Aquitaine,Corrèze,1.879,1.929,1.889,,,,45.125542413999995,1.7225066547599999,1
19190 Le Pescher,Nouvelle-Aquitaine,Corrèze,1.962,1.99,,,,,45.071202,1.737681,1
19200 Ussel,Nouvelle-Aquitaine,Corrèze,1.90425,1.8515000000000001,1.9463333333333335,1.1155,1.7785,,45.552784935050255,2.3076830006784,4
19210 Lubersac,Nouvelle-Aquitaine,Corrèze,1.845,1.895,1.855,,1.815,,45.438,1.397,1
19230 Saint-Sornin-Lavolps,Nouvelle-Aquitaine,Corrèze,1.839,1.889,,0.999,1.829,,45.393,1.377,1
19240 Allassac,Nouvelle-Aquitaine,Corrèze,1.886,1.928,,0.998,1.869,,45.253,1.461,1
19240 Varetz,Nouvelle-Aquitaine,Corrèze,1.918,1.938,1.908,,,,45.19264,1.45208,1
19250 Meymac,Nouvelle-Aquitaine,Corrèze,1.9293333333333333,1.919,1.9295,,1.842,,45.53729666666667,2.1421333333333332,3
19260 Treignac,Nouvelle-Aquitaine,Corrèze,1.86,1.89,,0.998,1.832,,45.533,1.804,1
19270 Donzenac,Nouvelle-Aquitaine,Corrèze,1.859,1.919,,,1.859,,45.219,1.521,1
19270 Saint-Pardoux-l'Ortigier,Nouvelle-Aquitaine,Corrèze,1.99,1.99,1.99,,,,45.310634037541,1.5625461874608,1
19270 Ussac,Nouvelle-Aquitaine,Corrèze,1.869,1.929,,,1.859,,45.195,1.542,1
19290 Sornac,Nouvelle-Aquitaine,Corrèze,1.875,,1.874,,,,45.661,2.202,1
19300 Égletons,Nouvelle-Aquitaine,Corrèze,1.8843333333333334,1.9395,,1.029,1.8556666666666668,,45.40064666666667,2.0402666666666667,3
19330 Favars,Nouvelle-Aquitaine,Corrèze,1.845,1.989,,1.319,,,45.26712,1.6793,1
19330 Saint-Mexant,Nouvelle-Aquitaine,Corrèze,1.849,1.919,,,1.839,,45.28398,1.65828,1
19340 Eygurande,Nouvelle-Aquitaine,Corrèze,1.9,1.92,1.92,,,,45.654785000000004,2.448575,2
19340 Messeix,Auvergne-Rhône-Alpes,Puy-de-Dôme,2.07,2.18,,,2.08,1.06,45.624,2.481,1
19350 Chabrignac,Nouvelle-Aquitaine,Corrèze,1.859,1.962,,,1.861,,45.32,1.327,1
19360 Cosnac,Nouvelle-Aquitaine,Corrèze,1.98,2.05,,,1.97,,45.135,1.584,1
19360 Malemort,Nouvelle-Aquitaine,Corrèze,1.831,1.881,,,1.814,,45.168,1.561,1
19400 Argentat-sur-Dordogne,Nouvelle-Aquitaine,Corrèze,1.905,1.9645000000000001,,1.14,1.8615,,45.092295,1.938755,2
19460 Naves,Nouvelle-Aquitaine,Corrèze,1.849,1.905,,0.994,1.834,,45.316,1.77,1
19490 Sainte-Fortunade,Nouvelle-Aquitaine,Corrèze,1.942,1.99,,,1.934,,45.196,1.774,1
19500 Collonges-la-Rouge,Nouvelle-Aquitaine,Corrèze,1.898,1.953,,,1.876,,45.056,1.669,1
19510 Masseret,Nouvelle-Aquitaine,Corrèze,1.99,1.99,,1.259,1.99,1.054,45.54068,1.52039,1
19600 Cressensac-Sarrazac,Occitanie,Lot,1.895,1.99,,0.994,1.886,,45.033,1.503,1
19700 Seilhac,Nouvelle-Aquitaine,Corrèze,1.868,1.917,,1.038,1.838,,45.36779,1.7155,1
19800 Eyrein,Nouvelle-Aquitaine,Corrèze,1.939,1.965,1.946,,,,45.342565585200006,1.93384921776,1
19800 Vitrac-sur-Montane,Nouvelle-Aquitaine,Corrèze,1.964,1.99,,,1.935,1.054,45.3594571,1.9372625,1
20000 Ajaccio,Corse,Corse-du-Sud,1.9556,,1.9146,,,,41.9271153567,8.743003887643999,5
20090 Ajaccio,Corse,Corse-du-Sud,1.951125,,1.90575,1.889,1.995,1.283,41.93737441444445,8.760505799999999,9
20100 Sartène,Corse,Corse-du-Sud,1.99,,1.99,,,,41.62966666666667,8.962,3
20110 Propriano,Corse,Corse-du-Sud,1.9849999999999999,,1.955,,,1.31,41.671499999999995,8.911000000000001,2
20111 Casaglione,Corse,Corse-du-Sud,1.925,,1.869,,,,42.062,8.741,1
20113 Olmeto,Corse,Corse-du-Sud,1.99,,1.96,,,,41.706705,8.90585,2
20115 Piana,Corse,Corse-du-Sud,1.992,,1.951,,,,42.237280621206,8.6358371530654,1
20118 Coggia,Corse,Corse-du-Sud,1.959,,1.989,,,,42.102,8.707,1
20118 Vico,Corse,Corse-du-Sud,1.93,,1.87,,,,42.116640453,8.69154694059,1
20129 Bastelicaccia,Corse,Corse-du-Sud,1.943,,1.898,,,,41.924,8.825,1
20130 Cargèse,Corse,Corse-du-Sud,1.99,,1.99,,,,42.134,8.598,1
20131 Pianottoli-Caldarello,Corse,Corse-du-Sud,1.99,,1.99,,1.99,,41.4918403216655,9.05539929719865,2
20137 Lecci,Corse,Corse-du-Sud,1.99,,1.99,,,,41.639,9.336,1
20137 Porto-Vecchio,Corse,Corse-du-Sud,1.9847142857142859,,1.9868571428571429,,,1.2349999999999999,41.600334003148426,9.278699620022413,7
20140 Petreto-Bicchisano,Corse,Corse-du-Sud,1.995,,1.969,,,,41.78547,8.97933,1
20144 Zonza,Corse,Corse-du-Sud,1.9825,,1.9825,,,,41.6995,9.3465,2
20145 Sari-Solenzara,Corse,Corse-du-Sud,1.94,,1.92,,,,41.8534432,9.3821111,2
20147 Serriera,Corse,Corse-du-Sud,1.989,,1.935,,,,42.289,8.7,1
20148 Cozzano,Corse,Corse-du-Sud,1.978,,1.937,,,,41.935,9.158,1
20150 Ota,Corse,Corse-du-Sud,1.99,,1.99,,,,42.262,8.709,1
20153 Guitera-les-Bains,Corse,Corse-du-Sud,1.98,,1.93,,,,41.901,9.098,1
20156 Serra-di-Ferro,Corse,Corse-du-Sud,2.0,,1.97,,,,41.70911,8.7926,1
20160 Vico,Corse,Corse-du-Sud,2.0,,1.96,,,,42.167,8.799,1
20166 Grosseto-Prugna,Corse,Corse-du-Sud,1.9526666666666668,,1.9093333333333333,,,,41.89076666666667,8.808566666666666,3
20166 Pietrosella,Corse,Corse-du-Sud,1.95,,1.91,,,,41.835,8.779,1
20167 Ajaccio,Corse,Corse-du-Sud,1.911,,1.9395,,,,41.94902715,8.7669992,2
20167 Alata,Corse,Corse-du-Sud,1.933,,1.885,,,,41.965,8.782,1
20167 Sarrola-Carcopino,Corse,Corse-du-Sud,1.9460000000000002,,1.892,,,1.283,41.98776657268699,8.83074664102,2
20169 Bonifacio,Corse,Corse-du-Sud,1.99,,1.95,,,,41.3915,9.1655,2
20170 Levie,Corse,Corse-du-Sud,1.9,,1.99,,,,41.70379437476,9.123308927933401,1
20200 Bastia,Corse,Haute-Corse,1.9849999999999999,,1.96,,,,42.703790700809,9.44759677263375,2
20200 Campile,Corse,Haute-Corse,1.94,1.95,1.99,,,,42.502395368601,9.378309900000101,1
20200 San-Martino-di-Lota,Corse,Haute-Corse,1.99,,1.96,,,,42.728585259999996,9.45947796,1
20200 Ville-di-Pietrabugno,Corse,Haute-Corse,1.99,,1.96,,,,42.71166175624099,9.4542959899902,1
20213 Penta-di-Casinca,Corse,Haute-Corse,1.955,,1.9049999999999998,,,,42.445499999999996,9.508,2
20213 Sorbo-Ocagnano,Corse,Haute-Corse,1.94,,1.89,,,,42.487,9.48,1
20215 Vescovato,Corse,Haute-Corse,1.94,,1.91,,,,42.5,9.466,1
20217 Saint-Florent,Corse,Haute-Corse,1.9816666666666667,,1.9766666666666666,,,,42.679624796263,9.304320166399267,3
20218 Morosaglia,Corse,Haute-Corse,1.9649999999999999,,1.9256,,,,42.4576618062182,9.22552149652444,5
20219 Vivario,Corse,Haute-Corse,1.969,,1.939,,,,42.172,9.17,1
20220 Aregno,Corse,Haute-Corse,1.98,,1.94,,,,42.609,8.875,1
20220 L'Île-Rousse,Corse,Haute-Corse,1.9526666666666668,,1.9526666666666668,,,,42.63216,8.943583333333335,3
20221 Cervione,Corse,Haute-Corse,1.92,,1.86,,,,42.325,9.539,1
20222 Brando,Corse,Haute-Corse,1.99,,1.94,,,,42.765,9.469,1
20224 Calacuccia,Corse,Haute-Corse,1.99,,1.96,,,,42.33399,9.00872,1
20228 Luri,Corse,Haute-Corse,1.98,,2.005,,,,42.887900061051,9.4730503471249,2
20230 Poggio-Mezzana,Corse,Haute-Corse,1.88,,1.91,,,,42.4,9.53,1
20230 San-Giuliano,Corse,Haute-Corse,1.92,,1.86,,,,42.259,9.547,1
20230 San-Nicolao,Corse,Haute-Corse,1.938,,1.9475,,,,42.3700330251605,9.51838200839115,2
20230 Sant'Andréa-di-Cotone,Corse,Haute-Corse,1.88,,1.929,,,,42.314264859039994,9.4890725133984,1
20235 Castello-di-Rostino,Corse,Haute-Corse,1.98,,1.93,,,,42.4882,9.28306,1
20240 Ghisonaccia,Corse,Haute-Corse,1.93,,1.89,,,1.35,42.018377861986494,9.4074927168934,4
20240 Ventiseri,Corse,Haute-Corse,1.95,,1.89,,,,41.916,9.393,1
20243 Prunelli-di-Fiumorbo,Corse,Haute-Corse,1.92,,1.89,,,1.36,41.9986857757,9.40286,1
20245 Galéria,Corse,Haute-Corse,2.047,,2.067,,,,42.406068193239996,8.69248715092475,2
20248 Rogliano,Corse,Haute-Corse,1.94,,1.99,,,,42.956669635916,9.4453596189195,1
20250 Corte,Corse,Haute-Corse,1.96,,1.9849999999999999,,,1.25,42.30838083081625,9.1546981092294,4
20260 Calvi,Corse,Haute-Corse,1.90375,,1.885,,,1.24,42.55972534943825,8.767481394194975,4
20270 Aléria,Corse,Haute-Corse,1.964,,1.9545,,,,42.114884437942,9.513833031567149,2
20290 Borgo,Corse,Haute-Corse,1.96,,1.93,,,1.25,42.56756,9.44075,1
20290 Lucciana,Corse,Haute-Corse,1.96225,,1.93225,,,,42.541225,9.435675,4
20600 Bastia,Corse,Haute-Corse,1.9883333333333333,,1.9400000000000002,,,1.25,42.67821256936867,9.444015940212068,6
20600 Furiani,Corse,Haute-Corse,1.99,,1.96,,,,42.657765,9.4317675,4
20620 Biguglia,Corse,Haute-Corse,1.97,,1.9566666666666668,,,1.25,42.61394333333334,9.434213333333332,3
21000 Dijon,Bourgogne-Franche-Comté,Côte-d'Or,1.908076923076923,1.9355454545454547,1.9100000000000001,1.057,1.8740909090909093,0.9615,47.32716076923077,5.047109230769231,13
21110 Aiserey,Bourgogne-Franche-Comté,Côte-d'Or,1.929,1.999,1.979,,,,47.179,5.158,1
21110 Bretenière,Bourgogne-Franche-Comté,Côte-d'Or,1.829,,1.839,,1.799,,47.24,5.114,1
21110 Genlis,Bourgogne-Franche-Comté,Côte-d'Or,1.902,1.9563333333333333,1.9255,1.069,1.869,,47.242740009287,5.2159746347169,3
21120 Is-sur-Tille,Bourgogne-Franche-Comté,Côte-d'Or,1.8926666666666667,1.949,1.89,1.0590000000000002,1.849,,47.52857,5.113626666666668,3
21120 Til-Châtel,Bourgogne-Franche-Comté,Côte-d'Or,1.9495,2.0145,1.949,1.21,1.95,,47.516000000000005,5.176,2
21121 Fontaine-lès-Dijon,Bourgogne-Franche-Comté,Côte-d'Or,1.87925,1.891,1.819,1.089,1.8743333333333334,,47.34625,5.032500000000001,4
21130 Auxonne,Bourgogne-Franche-Comté,Côte-d'Or,1.8613333333333333,1.884,,1.014,1.8246666666666667,1.979,47.187452735045326,5.393226425048801,3
21130 Pont,Bourgogne-Franche-Comté,Côte-d'Or,1.914,1.966,,1.249,1.885,1.038,47.182,5.334,2
21140 Semur-en-Auxois,Bourgogne-Franche-Comté,Côte-d'Or,1.9126666666666665,1.999,1.9093333333333333,1.19,1.799,,47.491976666666666,4.338726666666666,3
21150 Venarey-les-Laumes,Bourgogne-Franche-Comté,Côte-d'Or,1.909,1.948,1.839,,1.949,,47.5385,4.461,2
21160 Marsannay-la-Côte,Bourgogne-Franche-Comté,Côte-d'Or,1.8193333333333335,1.8656666666666666,1.806,0.9795,1.7985,0.899,47.27433333333334,5.007000000000001,3
21170 Saint-Usage,Bourgogne-Franche-Comté,Côte-d'Or,1.869,1.909,,,1.849,,47.112,5.256,1
21190 Corpeau,Bourgogne-Franche-Comté,Côte-d'Or,1.899,1.97,,,1.887,,46.92,4.753,1
21190 Merceuil,Bourgogne-Franche-Comté,Côte-d'Or,1.99,1.99,,1.259,1.99,1.054,46.961771925,4.836076035,2
21200 Beaune,Bourgogne-Franche-Comté,Côte-d'Or,1.880857142857143,1.9177142857142857,,1.069,1.837,1.099,47.021232669044714,4.8372244212615145,7
21200 Levernois,Bourgogne-Franche-Comté,Côte-d'Or,1.783,1.839,,0.959,1.747,,46.999,4.854,1
21200 Merceuil,Bourgogne-Franche-Comté,Côte-d'Or,1.99,,,,,,46.965045628392,4.8362053860605005,1
21210 Saulieu,Bourgogne-Franche-Comté,Côte-d'Or,1.928,2.0545,2.059,,1.973,,47.2825,4.2330000000000005,2
21220 Brochon,Bourgogne-Franche-Comté,Côte-d'Or,1.869,1.889,,,1.799,,47.233,4.983,1
21220 Gevrey-Chambertin,Bourgogne-Franche-Comté,Côte-d'Or,2.017,2.1215,,,2.002,1.054,47.219982880996,5.0058624675814,2
21230 Arnay-le-Duc,Bourgogne-Franche-Comté,Côte-d'Or,1.9123333333333334,2.009,1.964,,1.849,,47.13035266666666,4.486283666666666,3
21240 Talant,Bourgogne-Franche-Comté,Côte-d'Or,1.8385,1.885,1.864,1.089,1.805,0.904,47.340859593505996,5.00100081723555,2
21250 Glanon,Bourgogne-Franche-Comté,Côte-d'Or,2.039,2.119,,,2.019,1.083,47.031499999999994,5.106999999999999,2
21250 Seurre,Bourgogne-Franche-Comté,Côte-d'Or,1.9000000000000001,1.949,1.96,,1.789,,46.99499656091633,5.148637106488134,3
21260 Selongey,Bourgogne-Franche-Comté,Côte-d'Or,1.939,,1.949,,1.889,,47.580279687958,5.1683627924321,1
21270 Pontailler-sur-Saône,Bourgogne-Franche-Comté,Côte-d'Or,1.929,1.999,1.979,,,,47.311,5.41,1
21300 Chenôve,Bourgogne-Franche-Comté,Côte-d'Or,1.8285,1.9195000000000002,1.839,,1.77,0.899,47.289035,5.019080000000001,2
21310 Broye-Aubigney-Montseugny,Bourgogne-Franche-Comté,Haute-Saône,1.835,1.865,,,1.785,,47.356,5.513,1
21310 Mirebeau-sur-Bèze,Bourgogne-Franche-Comté,Côte-d'Or,,,,,,,47.3995613,5.323108,1
21320 Créancey,Bourgogne-Franche-Comté,Côte-d'Or,1.924,2.119,1.819,,2.039,,47.249032,4.571106,2
21320 Pouilly-en-Auxois,Bourgogne-Franche-Comté,Côte-d'Or,1.904,2.0090000000000003,,,1.924,,47.266,4.547000000000001,2
21320 Éguilly,Bourgogne-Franche-Comté,Côte-d'Or,2.089,2.169,,,2.069,1.149,47.309,4.501,1
21330 Laignes,Bourgogne-Franche-Comté,Côte-d'Or,1.999,,2.049,1.049,,,47.83946523,4.37160784,1
21340 Nolay,Bourgogne-Franche-Comté,Côte-d'Or,1.9695,1.999,1.99,,1.979,,46.949455,4.633794999999999,2
21350 Gissey-le-Vieil,Bourgogne-Franche-Comté,Côte-d'Or,1.915,2.062,,,1.937,,47.314944846589,4.4959178929596,1
21350 Vitteaux,Bourgogne-Franche-Comté,Côte-d'Or,1.949,1.999,1.949,,,,47.396,4.549,1
21360 Bligny-sur-Ouche,Bourgogne-Franche-Comté,Côte-d'Or,2.004,2.080666666666667,1.979,,2.0164999999999997,1.083,47.108233682253335,4.693452206750734,3
21370 Velars-sur-Ouche,Bourgogne-Franche-Comté,Côte-d'Or,1.849,,1.819,,1.789,,47.319,4.91,1
21390 Précy-sous-Thil,Bourgogne-Franche-Comté,Côte-d'Or,1.949,,1.979,,,,47.388,4.309,1
21400 Châtillon-sur-Seine,Bourgogne-Franche-Comté,Côte-d'Or,1.941,1.9793333333333336,1.999,1.0234999999999999,1.908,1.21,47.865500000000004,4.57075,4
21410 Fleurey-sur-Ouche,Bourgogne-Franche-Comté,Côte-d'Or,1.879,1.889,,0.998,1.817,,47.309,4.858,1
